clusterIndex,Longitude,Latitude,SOG,COG
2,-14.3917667,8.42333333,14.6,293
2,-14.3089,8.39365,14.9,293
2,-14.298,8.394,14.4,292
2,-14.2661333,8.38166667,11.8,291
2,-14.3658833,8.40895,14.8,291
2,-14.3260317,8.39826667,14.4,293.5
2,-14.2945333,8.38933333,14.8,293
2,-14.3075333,8.3941,15.9,293.7
2,-14.272955,8.38059,12.6,289.6
2,-14.2788033,8.382045,12.6,291.9
2,-14.2650833,8.38413333,12.2,292
2,-14.21874,8.37179667,12.4,293.8
2,-14.234335,8.37816,14.9,290.8
2,-14.2571333,8.37865,14.8,292
2,-14.3923333,8.41851667,16.3,290
2,-14.3809,8.41558333,16.3,290
2,-14.2680833,8.38496667,12.3,292
2,-14.4150167,8.41823333,14,291.1
2,-14.2854167,8.38771667,15.9,293.2
2,-14.2862667,8.38705,14.8,293
2,-14.3732667,8.41365,16.2,290
2,-14.28665,8.38806667,15.9,293.1
2,-14.39105,8.4182,16.3,290
2,-14.4309,8.43281667,17.6,292
2,-14.29455,8.38896667,11.9,291
2,-14.2921883,8.38662833,12.7,294.8
2,-14.3950833,8.41671667,15,292
2,-14.3733333,8.41096667,14.7,293
2,-14.3136167,8.39588333,15.9,293.5
2,-14.21145,8.36905,12.2,293
2,-14.23784,8.37728,12.5,293.1
2,-14.2161833,8.37035,12.2,292
2,-14.2562333,8.3847,15.3,293.7
2,-14.2609467,8.37716333,12.7,294.8
2,-14.24885,8.38265,14.7,293.7
2,-14.4200833,8.42991667,17.6,291
2,-14.3796333,8.41526667,16.4,290
2,-14.28855,8.38768333,14.8,292
2,-14.2608667,8.38025,11.9,291
2,-14.2711667,8.3865,14.4,294
2,-14.4495667,8.43253333,14.7,291
2,-14.3050167,8.39335,15.9,293.7
2,-14.3524733,8.40555,14,290.9
2,-14.3342833,8.40183333,15.9,293.4
2,-14.2588667,8.38241667,12.2,292
2,-14.2915,8.39216667,14.3,292
2,-14.3124,8.39551667,15.9,293.4
2,-14.2831883,8.38407167,15,292.3
2,-14.2171333,8.3706,12.2,292
2,-14.288,8.39133333,14.1,293
2,-14.3872833,8.41466667,14.8,291
2,-14.2748833,8.38366667,14.9,294
2,-14.2447833,8.3784,12.2,293
2,-14.2322833,8.37476667,12.2,292
2,-14.3244733,8.39781167,14.3,293.1
2,-14.2843333,8.39016667,14,293
2,-14.4080167,8.42025,14.6,291
2,-14.2707167,8.38245,14.8,293
2,-14.4147,8.42413333,16.3,290
2,-14.3520133,8.40543,14.4,291.6
2,-14.4227833,8.42023333,14.1,291.6
2,-14.2539333,8.38406667,15.1,293.1
2,-14.37835,8.41495,16.3,290
2,-14.4352,8.4236,14.2,291.4
2,-14.356,8.40656667,14.8,291
2,-14.3861833,8.41695,16.2,291
2,-14.4293667,8.42783333,16.3,290
2,-14.3783833,8.41236667,14.8,291
2,-14.3892,8.42258333,14.7,294
2,-14.2798333,8.389,13.8,292
2,-14.26505,8.38081667,14.9,293
2,-14.2561433,8.37570167,12.6,293
2,-14.2688417,8.37955333,12.7,293.1
2,-14.3947833,8.41666667,14.8,292
2,-14.36055,8.41041667,16.3,290
2,-14.4090333,8.41673333,14,290.3
2,-14.32942,8.39925167,14.3,293
2,-14.3073333,8.39666667,14.1,293
2,-14.3974167,8.41981667,16.3,290
2,-14.4210667,8.42573333,16.3,290
2,-14.209285,8.36903667,12.5,294.2
2,-14.3126167,8.39466667,14.8,292
2,-14.3003333,8.39466667,14.3,293
2,-14.2330317,8.37587667,12.5,293.2
2,-14.25675,8.37853333,14.9,292
2,-14.2697167,8.38631667,14.8,294
2,-14.3041667,8.39566667,14.3,293
2,-14.2211067,8.37251,12.5,294.3
2,-14.3835667,8.42091667,14.7,295
2,-14.2463533,8.37398833,14.8,291.9
2,-14.22826,8.37454,12.5,292.6
2,-14.3670333,8.40926667,14.8,291
2,-14.2770917,8.38158333,12.7,290.3
2,-14.3479167,8.40428333,14.8,293
2,-14.19988,8.36608667,12.5,293.7
