MMSI,Time,SOG,Longitude,Latitude,COG
905,19900101_083700,14.3,-14.0706,8.33058333,294.8
905,19900101_083710,14.3,-14.0715667,8.33088333,295.2
1,19900101_083714,0,-14.6128667,8.368,335.8
4,19900101_083716,13.5,-14.9469833,8.50938333,271.1
905,19900101_083722,14.2,-14.0727167,8.33121667,295.6
905,19900101_083724,14.1,-14.0730167,8.33131667,295.1
4,19900101_083725,13.5,-14.9479333,8.50938333,270.7
4,19900101_083736,13.6,-14.9488667,8.50938333,270.7
1,19900101_083744,0,-14.6128783,8.36797667,336.2
4,19900101_083746,13.6,-14.9498,8.5094,270.6
1,19900101_083754,0,-14.6128833,8.36799,336.7
905,19900101_083800,14.1,-14.0765333,8.33236667,295.5
1,19900101_083813,0,-14.6128617,8.36796,342.7
4,19900101_083825,13.5,-14.9535833,8.50945,271
4,19900101_083845,13.7,-14.9555833,8.50946667,271.1
905,19900101_083848,14.4,-14.08105,8.33365,296.4
4,19900101_083906,13.6,-14.9574667,8.5095,271.3
1,19900101_083914,0,-14.6128033,8.36797833,340.6
4,19900101_083925,13.6,-14.9592667,8.50953333,271.1
905,19900101_083948,14.5,-14.0870333,8.33545,295.4
4,19900101_084005,13.6,-14.9631333,8.50956667,270.6
1,19900101_084014,0,-14.6128517,8.36800167,345
4,19900101_084024,13.5,-14.9649333,8.50955,270.4
4,19900101_084105,13.4,-14.9687833,8.50958333,271.1
1,19900101_084114,0,-14.6128583,8.36800167,341.8
4,19900101_084125,13.4,-14.9705667,8.50963333,271.1
4,19900101_084145,13.5,-14.9724333,8.50968333,271.6
4,19900101_084156,13.5,-14.9734667,8.50968333,271.4
4,19900101_084205,13.5,-14.9743167,8.50968333,271.9
4,19900101_084225,13.4,-14.9762,8.50975,271.7
4,19900101_084245,13.6,-14.9781,8.50973333,270.9
607,19900101_084258,13.3,-13.80372,8.27983667,278.9
4,19900101_084305,13.6,-14.98,8.50975,270.7
4,19900101_084325,13.6,-14.9818833,8.50976667,270.3
4,19900101_084335,13.6,-14.9829333,8.50976667,270.5
4,19900101_084345,13.6,-14.9838,8.50976667,270.5
607,19900101_084705,13.1,-13.825285,8.282455,274
700,19900101_085937,17.6,-13.89725,8.29468333,275
700,19900101_085937,17.6,-13.89725,8.29468333,275
607,19900101_085955,13.4,-13.8967283,8.28696,274.6
607,19900101_085955,13.4,-13.8967283,8.28696,274.6
272,19900101_090013,0,-14.6124267,8.36712,7.3
272,19900101_090013,0,-14.6124267,8.36712,7.3
607,19900101_090036,13.4,-13.9005067,8.28719833,274.9
