clusterIndex,Longitude,Latitude,SOG,COG
0,-14.6124467,8.36711167,0,25.1
0,-14.6128367,8.36799833,0,324
0,-14.612875,8.36800333,0,24.9
0,-14.61282,8.367985,0,213.7
0,-14.6131717,8.36854833,0,273.7
0,-14.6124167,8.3671,0,358.7
0,-14.6128367,8.36797833,0,58.8
0,-14.6128417,8.36796833,0,352.4
0,-14.6128367,8.36796333,0,235.8
0,-14.6128217,8.367995,0,356.7
0,-14.6128283,8.36797667,0,240.3
0,-14.6128683,8.36803333,0,346.5
0,-14.61283,8.367955,0,222.1
0,-14.6131733,8.36854833,0,31.8
0,-14.6128267,8.36798833,0,291.7
0,-14.6128467,8.36796833,0.1,8.8
0,-14.612865,8.36795833,0,330.5
0,-14.6124517,8.36713333,0,350.2
0,-14.6128133,8.36797333,0,17.3
0,-14.612875,8.36799,0,353.3
0,-14.6128167,8.36803167,0,11
0,-14.612865,8.36803333,0,336.2
0,-14.6128,8.368,0,5.7
0,-14.6128467,8.367985,0,21.6
0,-14.6128433,8.36796833,0,350.4
0,-14.6124433,8.36710833,0,15.9
0,-14.6128433,8.367995,0,352.8
0,-14.6124067,8.36709167,0,28.4
0,-14.6128017,8.36797,0,210.6
0,-14.6128283,8.36798667,0.1,9.6
0,-14.6124467,8.3671,0,115.3
0,-14.612375,8.36708,0,119.1
0,-14.6128017,8.36798833,0,333.6
0,-14.612415,8.36704333,0,29
0,-14.612845,8.36802167,0,17.5
0,-14.6128533,8.36796833,0,227.2
0,-14.61283,8.36800167,0,0.5
0,-14.61285,8.36800333,0,17.8
0,-14.6128833,8.36792667,0,85.6
0,-14.6128117,8.36797667,0,16.3
0,-14.61238,8.36709667,0,185.9
0,-14.613165,8.36855,0,269.2
0,-14.6128483,8.36800667,0,349.6
0,-14.612865,8.36801,0,351
0,-14.6128483,8.367995,0,6.8
0,-14.61053,8.368555,0,287.4
0,-14.6105133,8.368565,0,0
0,-14.6128367,8.36797,0,333.8
0,-14.61247,8.36707,0,108.7
0,-14.61281,8.36798,0,1.3
0,-14.6128267,8.368,0,2.3
0,-14.6128283,8.36796,0,345.2
0,-14.6124683,8.367105,0,4
0,-14.613995,8.36759,0,0.8
0,-14.61286,8.36799833,0.1,12.6
0,-14.6124567,8.36710667,0,25.8
0,-14.61306,8.36884167,0,326.4
0,-14.6131567,8.368545,0,204.4
0,-14.6128583,8.36796833,0,27.3
0,-14.6124483,8.36708,0,160.5
0,-14.6128517,8.36796,0,215.7
0,-14.6124583,8.36711667,0,7.6
0,-14.612855,8.36799333,0,18.7
0,-14.6128467,8.36801167,0,355.2
0,-14.61283,8.367995,0,14
0,-14.61283,8.36799667,0,42.4
0,-14.6128217,8.36798667,0,358.9
0,-14.61282,8.36798333,0,295.5
0,-14.612855,8.36800167,0,131
0,-14.6119667,8.37392167,0,131.6
0,-14.6128283,8.367985,0,320
0,-14.613165,8.36855333,0,210.9
0,-14.612855,8.36797167,0,74
0,-14.612865,8.367985,0,318.2
0,-14.61281,8.368005,0,11.3
0,-14.6112833,8.36861667,0,171.9
0,-14.61285,8.36799833,0,23
0,-14.612815,8.36795167,0,273.6
0,-14.61278,8.36796833,0,6.9
0,-14.612835,8.36800833,0,37.5
0,-14.61282,8.368,0,132.9
0,-14.6128583,8.368025,0,10.5
0,-14.6128633,8.36802,0,346.1
0,-14.6124383,8.36711,0,15.3
0,-14.6128183,8.36798833,0,34.7
0,-14.6124867,8.36707833,0,343.9
0,-14.61284,8.36799,0,4.8
0,-14.612825,8.36798,0,205.9
0,-14.61318,8.36854667,0,301.4
0,-14.6128283,8.36796833,0,106.5
0,-14.6128317,8.36799833,0,3.8
0,-14.61285,8.367985,0,18.6
0,-14.6131717,8.36854833,0,43.9
0,-14.6124383,8.36710333,0,8.1
0,-14.6131667,8.36854833,0,164.7
0,-14.6124483,8.36710667,0,210.7
0,-14.6124167,8.367095,0,12.5
0,-14.6124217,8.36709833,0,35.8
0,-14.6128567,8.368015,0.1,17.6
0,-14.612845,8.36798,0,10.7
0,-14.6128583,8.36786667,0,233.8
0,-14.6124617,8.36708333,0.1,11.3
0,-14.6128383,8.367985,0.1,1.5
0,-14.6128217,8.368015,0,8
0,-14.612455,8.36707833,0,0.8
0,-14.6128467,8.36800167,0,345.6
0,-14.612895,8.36801167,0,145.1
0,-14.6128433,8.36798667,0,30.4
0,-14.6128267,8.36798333,0,355.8
0,-14.6128433,8.367995,0,359.8
0,-14.6128433,8.36801333,0,343.5
0,-14.6128367,8.368,0.1,17.3
0,-14.6130767,8.36885167,0,279.8
0,-14.6128267,8.36797833,0,351.8
0,-14.61287,8.36797167,0,0.9
0,-14.61245,8.36710333,0,352.7
0,-14.6128383,8.36797667,0,353.4
0,-14.6124267,8.36709667,0,61.1
0,-14.6131683,8.368545,0,246.2
0,-14.6131767,8.36854167,0,210.9
0,-14.613165,8.36855167,0,42.3
0,-14.6128283,8.36798,0,5
0,-14.6128333,8.36800167,0,209.8
0,-14.61242,8.36710167,0,198.4
0,-14.6124567,8.36709333,0,47.8
0,-14.61286,8.36801,0,16.5
0,-14.61286,8.36799667,0,16.7
0,-14.612825,8.36797833,0,221.6
0,-14.6128483,8.36798667,0,353.1
0,-14.61285,8.36802333,0,335.7
0,-14.6128683,8.36802667,0,21.4
0,-14.6128567,8.36797333,0,344
0,-14.6128467,8.36797333,0,349.3
0,-14.6128817,8.36798833,0,25
0,-14.612845,8.36798833,0,269.3
